指標,min,max,mean,CV,推奨値,備考
vol_ratio_3_7,0.5692,2.5527,1.4589,0.6328,,
vol_ratio_5_5,0.9043,2.2479,1.3868,0.4508,,
vol_ratio_5_10,1.245,1.4391,1.3245,0.0627,>=1.183 & <=1.511,★推奨ウィンドウ
vol_ratio_7_7,0.8094,3.0615,1.8661,0.5449,,
vol_ratio_7_14,0.9609,3.0705,1.9992,0.5448,,
vol_ratio_10_10,0.8699,2.9803,1.7953,0.5917,,
price_vs_ma25,1.025,1.2978,1.1806,,>=1.0,全銘柄min=1.0250
price_vs_ma75,1.1391,1.5236,1.3242,,>=0.97,全銘柄min=1.1391
max_daily_ret_5d,0.0144,0.1111,0.0643,,<=0.116,全銘柄max=0.1111
cum_ret_5d,-0.017,0.3712,0.1077,,<=0.381,全銘柄max=0.3712
bw_prior_percentile,0.3167,0.9833,0.65,,<=0.983,全銘柄max=0.9833 (この値以下で全銘柄パス)
slope_25,13.656,104.72,49.046,,>0,全銘柄min=13.6560
bw_recent,0.1951,0.5094,0.3008,,,
bw_prior,0.1315,0.3229,0.2332,,,
